State,Vehicle_Type,Weather_Condition,Road_Condition,Road_Type,Time_of_Day,Speed_kmph,Crash_Force_kN,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Usage,Emergency_Response_Time_min,Driver_License,Gender,Severity,Number_of_Fatalities,Year,Month,Timing
Tamil Nadu,Bike,Clear,Damaged,Urban,Morning,41.7,60.76,Yes,Not Applicable,No,Yes,34.2,Yes,Female,Minor,2,2024,June,11:02
Gujarat,Car,Clear,Damaged,Urban,Evening,52.3,68.07,Not Applicable,Yes,No,No,28.9,Yes,Female,Minor,0,2019,June,17:18
Maharashtra,Bike,Rainy,Dry,Urban,Night,38.2,59.4,Yes,Not Applicable,No,Yes,21,Yes,Female,Minor,0,2021,August,21:36
Tamil Nadu,Truck,Clear,Dry,Urban,Morning,57,77.75,Not Applicable,No,No,No,25.4,Yes,Male,Minor,0,2019,February,7:17
Gujarat,Car,Rainy,Dry,Urban,Evening,43.8,59.28,Not Applicable,Yes,No,Yes,33.4,Yes,Female,Minor,0,2023,January,20:48
Karnataka,Bus,Clear,Dry,Urban,Morning,46.3,67.5,Not Applicable,Yes,Yes,No,11.3,Yes,Male,Minor,0,2020,February,10:12
Uttar Pradesh,Bike,Clear,Wet,Urban,Morning,51.4,75.31,Yes,Not Applicable,No,Yes,23.7,Yes,Female,Minor,0,2021,March,6:01
Karnataka,Truck,Clear,Wet,Urban,Night,52.6,75.01,Not Applicable,Yes,No,No,21.7,Yes,Male,Minor,0,2024,February,21:40
Uttar Pradesh,Bike,Rainy,Damaged,Urban,Morning,45.8,72.06,Yes,Not Applicable,No,No,29.2,Yes,Female,Minor,0,2023,December,11:52
Uttar Pradesh,Bus,Rainy,Dry,Urban,Morning,50.6,79.03,Not Applicable,Yes,No,No,21.4,No,Male,Minor,0,2021,June,4:47
Uttar Pradesh,Bike,Clear,Damaged,Urban,Morning,43,65.21,Yes,Not Applicable,No,No,34.1,Yes,Male,Minor,2,2023,October,4:52
Rajasthan,Bus,Clear,Dry,Urban,Afternoon,40.5,62.21,Not Applicable,Yes,No,No,10.8,No,Male,Minor,0,2024,October,13:16
Uttar Pradesh,Bike,Rainy,Dry,Rural,Afternoon,52.3,68.11,Yes,Not Applicable,No,Yes,13.8,Yes,Male,Minor,0,2021,June,12:34
Maharashtra,Bus,Clear,Damaged,Urban,Evening,48.8,72.58,Not Applicable,Yes,Yes,No,25,Yes,Male,Minor,0,2024,September,18:29
Tamil Nadu,Truck,Clear,Wet,Urban,Morning,44.6,67.31,Not Applicable,Yes,No,No,10.9,Yes,Male,Minor,0,2020,November,5:31
Karnataka,Car,Foggy,Dry,Urban,Morning,49.2,72.93,Not Applicable,Yes,No,No,17,Expired,Male,Minor,0,2022,July,6:29
Tamil Nadu,Car,Clear,Damaged,Urban,Evening,54,78.42,Not Applicable,Yes,No,No,10,Yes,Female,Minor,0,2021,December,19:45
Maharashtra,Car,Rainy,Damaged,Rural,Night,49.9,75.98,Not Applicable,Yes,No,No,20.2,Yes,Male,Minor,0,2022,February,21:28
Karnataka,Car,Clear,Damaged,Urban,Morning,56.5,79.48,Not Applicable,Yes,No,Yes,26.8,Yes,Female,Minor,0,2021,October,10:58
Uttar Pradesh,Bike,Clear,Dry,Urban,Afternoon,47.1,70.25,No,Not Applicable,No,No,32,Yes,Female,Minor,0,2023,November,13:42
Tamil Nadu,Car,Clear,Damaged,Urban,Evening,48,70.09,Not Applicable,No,No,No,11.5,Yes,Male,Minor,0,2024,October,20:58
Uttar Pradesh,Car,Clear,Dry,Rural,Morning,56.6,77.12,Not Applicable,Yes,No,No,25.9,No,Female,Minor,0,2019,January,8:08
Karnataka,Car,Rainy,Dry,Urban,Afternoon,42.1,56.5,Not Applicable,Yes,No,No,25.9,Yes,Male,Minor,0,2023,August,12:08
Rajasthan,Car,Clear,Damaged,Urban,Evening,42.7,58.5,Not Applicable,Yes,No,No,31.7,Yes,Female,Minor,2,2024,July,19:23
Gujarat,Bus,Rainy,Dry,Urban,Morning,48.4,64.03,Not Applicable,Yes,No,No,26.7,Expired,Male,Minor,0,2019,February,10:51
Maharashtra,Bike,Clear,Damaged,Urban,Morning,50.1,79.03,Yes,Not Applicable,No,No,25.5,Yes,Female,Minor,2,2024,May,11:14
Maharashtra,Bus,Foggy,Wet,Urban,Evening,50,78.04,Not Applicable,Yes,No,No,21,Yes,Male,Minor,0,2021,November,19:21
Uttar Pradesh,Car,Rainy,Dry,Urban,Morning,52.6,78.02,Not Applicable,Yes,No,No,21.1,No,Female,Minor,0,2020,October,4:29
Tamil Nadu,Bus,Clear,Damaged,Rural,Night,57.2,78.09,Not Applicable,Yes,No,No,27.9,Yes,Male,Minor,0,2022,February,2:58
Gujarat,Car,Foggy,Dry,Rural,Morning,49.3,73.54,Not Applicable,Yes,No,No,12.9,No,Female,Minor,0,2023,June,11:15
Rajasthan,Truck,Clear,Wet,Urban,Evening,57.5,80,Not Applicable,Yes,No,No,18.1,Yes,Male,Minor,0,2020,December,17:37
Gujarat,Bike,Clear,Damaged,Urban,Night,48.9,67.23,Yes,Not Applicable,No,No,14.1,Yes,Male,Minor,0,2024,June,3:52
Uttar Pradesh,Car,Rainy,Wet,Urban,Morning,46.2,67.99,Not Applicable,Yes,No,No,24.3,Yes,Male,Minor,0,2023,April,5:30
Karnataka,Bike,Clear,Wet,Urban,Evening,54,79.96,Yes,Not Applicable,No,No,14.2,Yes,Male,Minor,0,2022,February,20:34
Maharashtra,Bike,Clear,Dry,Urban,Night,59,77.6,Yes,Not Applicable,No,No,14.1,Expired,Female,Minor,0,2024,November,1:55
Maharashtra,Bike,Clear,Damaged,Urban,Morning,44.5,58.79,Yes,Not Applicable,No,Yes,10.1,Yes,Female,Minor,0,2019,January,4:03
Rajasthan,Car,Rainy,Damaged,Urban,Afternoon,51.9,73.84,Not Applicable,Yes,No,No,17,Yes,Female,Minor,0,2019,April,14:07
Karnataka,Car,Rainy,Dry,Urban,Night,42.7,61.93,Not Applicable,Yes,No,No,26.3,Yes,Female,Minor,0,2024,June,21:22
Karnataka,Bike,Clear,Wet,Urban,Night,44.4,69.24,Yes,Not Applicable,No,No,20.2,Yes,Male,Minor,0,2024,July,21:31
Gujarat,Bus,Clear,Damaged,Urban,Evening,56.1,74.46,Not Applicable,Yes,No,Yes,27.4,Yes,Male,Minor,0,2020,February,19:17
Rajasthan,Bus,Clear,Dry,Urban,Morning,49.5,73.66,Not Applicable,Yes,Yes,No,33.4,Yes,Male,Minor,0,2020,November,9:27
Karnataka,Car,Clear,Damaged,Urban,Morning,44.6,70.84,Not Applicable,Yes,Yes,No,17.1,Yes,Female,Minor,0,2024,February,4:26
Karnataka,Bus,Clear,Dry,Urban,Afternoon,42.7,58.34,Not Applicable,Yes,No,Yes,29.5,Yes,Male,Minor,0,2021,May,16:44
Maharashtra,Truck,Clear,Dry,Urban,Night,41.7,61.61,Not Applicable,Yes,No,No,29.2,Expired,Male,Minor,0,2022,July,22:28
Rajasthan,Bike,Rainy,Dry,Urban,Afternoon,49.1,72.88,Yes,Not Applicable,No,No,19.1,Yes,Female,Minor,1,2019,April,15:39
Maharashtra,Bike,Clear,Dry,Urban,Night,43.6,58.88,Yes,Not Applicable,No,No,22.5,No,Female,Minor,0,2019,March,3:08
Tamil Nadu,Car,Clear,Wet,Urban,Night,44,61.75,Not Applicable,Yes,No,No,10.6,Yes,Female,Minor,0,2019,October,22:29
Uttar Pradesh,Car,Clear,Dry,Urban,Afternoon,49.3,68.87,Not Applicable,Yes,No,No,20.6,Yes,Female,Minor,0,2024,July,12:02
Tamil Nadu,Bike,Foggy,Dry,Urban,Morning,58.1,77.61,Yes,Not Applicable,Yes,No,18.1,Yes,Male,Minor,2,2021,November,6:38
Tamil Nadu,Car,Clear,Wet,Urban,Night,50.9,69.57,Not Applicable,Yes,No,No,19.7,Yes,Female,Minor,0,2021,August,3:23
Tamil Nadu,Car,Foggy,Dry,Rural,Evening,55.3,79.74,Not Applicable,Yes,No,No,13.2,Yes,Male,Minor,1,2021,June,20:00
Uttar Pradesh,Car,Clear,Damaged,Urban,Night,44.9,67.98,Not Applicable,Yes,No,No,16,Expired,Female,Minor,0,2019,January,23:37
Uttar Pradesh,Bike,Foggy,Dry,Urban,Afternoon,45.2,59.01,Yes,Not Applicable,No,No,32.9,Yes,Female,Minor,0,2019,April,15:34
Karnataka,Bike,Foggy,Damaged,Urban,Night,46.6,67.97,Yes,Not Applicable,No,No,24.4,Yes,Male,Minor,0,2023,September,22:02
Rajasthan,Truck,Foggy,Dry,Urban,Morning,56,76.57,Not Applicable,Yes,Yes,No,22.7,Yes,Male,Minor,0,2023,December,10:52
Tamil Nadu,Truck,Rainy,Dry,Urban,Evening,41.7,61.7,Not Applicable,Yes,Yes,No,15.9,Yes,Male,Minor,0,2020,June,18:57
Rajasthan,Bike,Rainy,Damaged,Urban,Morning,41.9,62.48,Yes,Not Applicable,No,No,31.4,Yes,Female,Minor,0,2023,January,4:44
Uttar Pradesh,Car,Clear,Wet,Urban,Night,49.6,69.78,Not Applicable,Yes,No,No,15.4,Yes,Male,Minor,0,2021,December,3:57
Maharashtra,Car,Foggy,Dry,Rural,Night,54.4,79.02,Not Applicable,Yes,No,Yes,14.7,Yes,Female,Minor,0,2024,March,22:00
Tamil Nadu,Bus,Clear,Wet,Urban,Morning,48.5,64.46,Not Applicable,Yes,No,No,23.4,Yes,Male,Minor,0,2020,October,11:13
Gujarat,Bike,Foggy,Dry,Urban,Evening,49.3,77.15,Yes,Not Applicable,No,No,27.5,Expired,Male,Minor,0,2022,April,17:43
Uttar Pradesh,Bike,Clear,Wet,Urban,Morning,44.5,60.57,Yes,Not Applicable,No,Yes,19.5,Yes,Male,Minor,0,2019,August,10:26
Maharashtra,Bus,Clear,Damaged,Urban,Evening,51.5,72.72,Not Applicable,Yes,Yes,No,10.1,Yes,Male,Minor,0,2021,January,20:42
Maharashtra,Bike,Rainy,Dry,Rural,Afternoon,48.2,71.11,Yes,Not Applicable,Yes,No,16.5,Yes,Female,Minor,0,2019,December,16:36
Maharashtra,Bike,Rainy,Dry,Urban,Morning,44.6,70.61,Yes,Not Applicable,No,No,24.7,No,Female,Minor,0,2019,December,4:20
Gujarat,Bike,Clear,Damaged,Urban,Evening,44.4,69.7,Yes,Not Applicable,Yes,No,21.6,Yes,Female,Minor,0,2024,October,20:39
Uttar Pradesh,Bike,Rainy,Dry,Urban,Morning,47.4,71.98,Yes,Not Applicable,No,No,33.6,Expired,Female,Minor,0,2020,July,11:30
Tamil Nadu,Truck,Clear,Damaged,Urban,Morning,42.1,60.26,Not Applicable,Yes,No,No,14.9,Yes,Male,Minor,0,2020,March,11:30
Maharashtra,Car,Rainy,Wet,Urban,Evening,50.5,66.83,Not Applicable,Yes,No,No,23.6,Yes,Female,Minor,0,2022,January,18:13
Gujarat,Bike,Rainy,Dry,Urban,Night,40.3,53.39,Yes,Not Applicable,No,No,19.1,Expired,Female,Minor,0,2024,May,0:37
Rajasthan,Car,Clear,Dry,Rural,Morning,56.7,79.05,Not Applicable,Yes,Yes,No,14.6,Yes,Male,Minor,0,2019,March,5:50
Uttar Pradesh,Bike,Rainy,Damaged,Urban,Evening,39.8,57.68,Yes,Not Applicable,No,No,14.6,Yes,Female,Minor,0,2019,July,20:01
Gujarat,Truck,Clear,Damaged,Urban,Morning,40.6,54.42,Not Applicable,Yes,No,No,19,Yes,Male,Minor,0,2021,January,5:56
Gujarat,Car,Clear,Dry,Urban,Morning,48.4,74.93,Not Applicable,Yes,No,Yes,27.8,Yes,Male,Minor,0,2022,July,10:35
Karnataka,Bike,Foggy,Dry,Urban,Morning,51.1,68.2,Yes,Not Applicable,No,No,10.4,No,Male,Minor,0,2019,November,5:11
Maharashtra,Bus,Rainy,Damaged,Urban,Night,41.6,54.52,Not Applicable,Yes,No,No,18.6,Yes,Male,Minor,0,2023,March,3:18
Rajasthan,Truck,Rainy,Damaged,Urban,Afternoon,50.3,73.8,Not Applicable,Yes,No,No,28.5,Yes,Male,Minor,0,2023,February,15:12
Karnataka,Car,Rainy,Dry,Urban,Morning,52.1,72.97,Not Applicable,Yes,No,Yes,11.6,Yes,Female,Minor,0,2021,August,4:07
Maharashtra,Bike,Clear,Dry,Urban,Evening,55,80,Yes,Not Applicable,Yes,Yes,13.5,Yes,Male,Minor,0,2022,January,18:24
Uttar Pradesh,Car,Rainy,Damaged,Rural,Evening,51.6,78.56,Not Applicable,Yes,No,No,25.8,Yes,Male,Minor,0,2023,June,20:17
Karnataka,Bike,Clear,Dry,Urban,Night,42.2,66.29,Yes,Not Applicable,No,No,27.2,Yes,Female,Minor,0,2024,November,23:47
Karnataka,Car,Clear,Wet,Urban,Morning,48,72.77,Not Applicable,Yes,No,No,12.4,Yes,Female,Minor,0,2023,December,5:28
Gujarat,Bike,Clear,Dry,Urban,Night,57.2,74.63,Yes,Not Applicable,No,Yes,29.6,Yes,Female,Minor,0,2023,October,0:02
Uttar Pradesh,Bike,Rainy,Dry,Urban,Afternoon,46,67.77,Yes,Not Applicable,No,Yes,23.5,Yes,Female,Minor,0,2019,February,13:26
Tamil Nadu,Bike,Clear,Dry,Urban,Morning,48.5,76.07,Yes,Not Applicable,Yes,No,17,Expired,Female,Minor,0,2019,January,6:39
Uttar Pradesh,Bike,Clear,Dry,Urban,Evening,40.4,56.9,Yes,Not Applicable,No,Yes,10.4,Yes,Female,Minor,0,2021,November,17:55
Tamil Nadu,Truck,Rainy,Dry,Urban,Evening,41.1,55.58,Not Applicable,Yes,No,Yes,12,Yes,Male,Minor,0,2019,November,17:34
Gujarat,Car,Foggy,Damaged,Urban,Morning,47.7,68.65,Not Applicable,Yes,No,Yes,15.3,Yes,Female,Minor,0,2019,December,7:45
Maharashtra,Bus,Clear,Dry,Urban,Morning,40.7,54.4,Not Applicable,Yes,No,No,34.7,No,Male,Minor,0,2020,January,5:11
Gujarat,Truck,Clear,Damaged,Urban,Afternoon,42.3,60.19,Not Applicable,Yes,No,Yes,34.2,Yes,Male,Minor,0,2024,November,13:09
Karnataka,Bike,Foggy,Wet,Urban,Morning,45.3,60.34,Yes,Not Applicable,No,No,16.3,Yes,Male,Minor,0,2024,November,7:11
Rajasthan,Truck,Foggy,Damaged,Urban,Morning,37.8,60.24,Not Applicable,Yes,No,Yes,17.4,Yes,Male,Minor,0,2023,June,6:34
Uttar Pradesh,Bike,Rainy,Damaged,Urban,Evening,51.4,78.64,Yes,Not Applicable,No,No,29,Yes,Male,Minor,0,2022,April,20:51
Tamil Nadu,Car,Foggy,Damaged,Urban,Morning,57.8,77.07,Not Applicable,Yes,No,No,24.4,Yes,Male,Minor,0,2020,July,5:50
Rajasthan,Bike,Clear,Dry,Urban,Night,45.9,73.2,Yes,Not Applicable,No,Yes,17.2,Expired,Male,Minor,0,2021,March,21:08
Tamil Nadu,Bus,Rainy,Dry,Rural,Evening,56.6,75.94,Not Applicable,Yes,Yes,No,15.5,Yes,Male,Minor,0,2024,May,18:19
Uttar Pradesh,Truck,Rainy,Damaged,Urban,Morning,51.2,69.36,Not Applicable,Yes,No,No,13.9,Expired,Male,Minor,0,2023,July,11:22
Uttar Pradesh,Bike,Clear,Damaged,Urban,Afternoon,49.3,77.93,Yes,Not Applicable,No,Yes,22.4,Expired,Female,Minor,0,2020,February,13:37
Rajasthan,Bus,Clear,Wet,Urban,Evening,50.2,72.19,Not Applicable,Yes,No,No,18.3,Yes,Male,Minor,0,2022,August,17:22
Uttar Pradesh,Bike,Foggy,Wet,Urban,Morning,52.7,69.65,Yes,Not Applicable,No,No,17.7,Yes,Female,Minor,0,2024,January,6:23
Rajasthan,Bike,Clear,Dry,Urban,Afternoon,43.8,57.35,Yes,Not Applicable,Yes,No,29.8,Yes,Male,Minor,0,2022,May,15:29
Karnataka,Truck,Rainy,Dry,Urban,Morning,51.7,69.23,Not Applicable,Yes,No,No,19.3,Yes,Male,Minor,0,2020,October,7:37
Maharashtra,Bike,Clear,Wet,Urban,Night,49.9,72.46,Yes,Not Applicable,No,No,17.6,Yes,Male,Minor,0,2020,May,2:35
Gujarat,Truck,Rainy,Dry,Rural,Morning,50.6,69.67,Not Applicable,Yes,No,No,16.2,Yes,Male,Minor,0,2024,June,6:12
Rajasthan,Truck,Rainy,Wet,Urban,Evening,58,77.59,Not Applicable,Yes,No,No,16.5,Yes,Male,Minor,0,2020,April,18:37
Gujarat,Bike,Rainy,Dry,Urban,Night,41.6,64.38,Yes,Not Applicable,No,No,25.2,Yes,Male,Minor,0,2020,August,21:26
Rajasthan,Bike,Clear,Dry,Urban,Night,41.9,58.48,Yes,Not Applicable,Yes,No,18.1,Yes,Female,Minor,2,2023,September,1:44
Rajasthan,Car,Rainy,Dry,Urban,Afternoon,51,67.97,Not Applicable,Yes,No,No,20.2,Yes,Male,Minor,0,2019,February,12:55
Maharashtra,Bike,Clear,Wet,Urban,Morning,46.5,65.28,Yes,Not Applicable,No,No,33.8,Yes,Female,Minor,0,2024,April,5:09
Uttar Pradesh,Bike,Clear,Wet,Urban,Evening,47.5,68.92,Yes,Not Applicable,No,Yes,21.2,Yes,Female,Minor,0,2021,August,19:27
Uttar Pradesh,Car,Rainy,Dry,Urban,Night,44.8,63.35,Not Applicable,Yes,No,No,22.6,Yes,Female,Minor,0,2021,December,22:31
Gujarat,Truck,Rainy,Damaged,Urban,Night,51.3,70.89,Not Applicable,Yes,No,No,21.2,Yes,Male,Minor,0,2021,July,3:56
Rajasthan,Bike,Foggy,Damaged,Urban,Morning,48.9,77.64,Yes,Not Applicable,No,Yes,17.4,Yes,Female,Minor,0,2020,October,5:31
Tamil Nadu,Bike,Clear,Damaged,Urban,Afternoon,48.6,75.96,Yes,Not Applicable,No,No,29.5,Yes,Male,Minor,0,2020,December,13:30
Uttar Pradesh,Bike,Clear,Wet,Urban,Morning,41.6,63.17,Yes,Not Applicable,No,No,27.9,Yes,Female,Minor,2,2021,August,8:43
Uttar Pradesh,Car,Foggy,Wet,Urban,Evening,37.2,58.13,Not Applicable,Yes,No,No,21,Yes,Female,Minor,0,2022,July,17:39
Maharashtra,Car,Foggy,Dry,Urban,Morning,41.2,60.59,Not Applicable,Yes,No,No,17.4,No,Female,Minor,2,2024,September,10:09
Gujarat,Bus,Foggy,Damaged,Urban,Morning,45.4,64.91,Not Applicable,Yes,No,No,25.3,Yes,Male,Minor,0,2019,August,10:12
Tamil Nadu,Bus,Clear,Wet,Rural,Afternoon,51.7,68.14,Not Applicable,Yes,No,Yes,24,Yes,Male,Minor,0,2024,September,12:18
Gujarat,Bike,Foggy,Dry,Highway,Night,76.7,112.72,Yes,Not Applicable,Yes,No,23.7,Yes,Female,Serious,2,2023,January,21:02
Karnataka,Car,Clear,Damaged,Urban,Evening,46,61.62,Not Applicable,No,Yes,No,22.3,Yes,Female,Serious,3,2020,January,20:25
Karnataka,Bike,Rainy,Damaged,Urban,Afternoon,64.1,98.83,Yes,Not Applicable,Yes,No,21.7,Yes,Female,Serious,0,2021,June,13:53
Gujarat,Bike,Clear,Dry,Rural,Night,60.9,96.29,Yes,Not Applicable,No,Yes,18.9,Yes,Female,Serious,1,2023,April,1:24
Uttar Pradesh,Bus,Rainy,Wet,Urban,Morning,66.5,90.85,Not Applicable,Yes,No,No,19.2,Yes,Male,Serious,8,2020,December,4:41
Maharashtra,Bike,Clear,Dry,Urban,Night,74.1,104.13,Yes,Not Applicable,Yes,No,13.5,No,Female,Serious,0,2024,June,21:57
Gujarat,Bike,Rainy,Wet,Urban,Night,56.8,81.27,Yes,Not Applicable,No,No,21.2,Yes,Male,Serious,2,2024,July,3:29
Gujarat,Bus,Foggy,Wet,Urban,Morning,65.4,100.35,Not Applicable,Yes,No,No,20.9,Yes,Male,Serious,11,2019,April,8:03
Uttar Pradesh,Car,Rainy,Dry,Urban,Night,47.8,68.09,Not Applicable,Yes,No,No,13.6,No,Female,Serious,4,2022,May,23:26
Tamil Nadu,Truck,Rainy,Dry,Rural,Afternoon,63.4,89.91,Not Applicable,Yes,No,Yes,11.1,Expired,Male,Serious,4,2021,December,16:21
Maharashtra,Bus,Clear,Damaged,Urban,Morning,63.3,98.96,Not Applicable,Yes,Yes,Yes,24.3,Yes,Male,Serious,10,2024,January,8:16
Rajasthan,Bike,Clear,Wet,Urban,Morning,56.2,73.75,Yes,Not Applicable,Yes,Yes,12.5,Yes,Female,Serious,3,2021,July,8:55
Gujarat,Truck,Rainy,Damaged,Urban,Morning,41.7,60,Not Applicable,Yes,No,Yes,32.7,Expired,Male,Serious,3,2021,March,8:00
Rajasthan,Car,Clear,Wet,Urban,Afternoon,53.5,84.82,Not Applicable,Yes,No,No,28.4,Yes,Female,Serious,4,2021,March,15:28
Uttar Pradesh,Truck,Rainy,Damaged,Highway,Morning,78.4,114.56,Not Applicable,No,No,No,25.3,Yes,Male,Serious,4,2024,December,4:54
Rajasthan,Car,Rainy,Damaged,Urban,Morning,43.5,68.05,Not Applicable,Yes,Yes,No,17,Yes,Female,Serious,6,2019,July,9:48
Gujarat,Car,Clear,Wet,Urban,Morning,60.8,85.57,Not Applicable,Yes,No,No,31.2,Expired,Male,Serious,3,2020,September,9:25
Gujarat,Truck,Rainy,Wet,Urban,Evening,63.5,85.94,Not Applicable,Yes,No,No,17,Yes,Male,Serious,2,2022,March,18:37
Rajasthan,Bus,Rainy,Wet,Highway,Morning,70.7,102.08,Not Applicable,Yes,No,No,20.1,Yes,Male,Serious,12,2024,December,4:55
Maharashtra,Car,Rainy,Damaged,Urban,Afternoon,57,78.35,Not Applicable,No,No,Yes,11.2,Yes,Male,Serious,3,2024,January,15:58
Tamil Nadu,Truck,Rainy,Damaged,Urban,Morning,64.4,86.83,Not Applicable,Yes,Yes,Yes,18.4,Yes,Male,Serious,5,2023,April,9:49
Tamil Nadu,Bike,Clear,Dry,Highway,Night,77.8,117.3,Yes,Not Applicable,Yes,No,14.7,No,Female,Serious,0,2019,July,0:13
Rajasthan,Bike,Foggy,Dry,Urban,Morning,53.6,83.22,Yes,Not Applicable,Yes,No,13.6,No,Female,Serious,3,2024,October,7:56
